text,intent
将消费者按购买偏好分组,cluster
预测设备故障概率,predict
将客户按消费行为进行分组,cluster
对产品按照销量进行分级分类,cluster
根据用户特征自动分群,cluster
请对这些文档进行主题聚类,cluster
将相似的客户归为一类,cluster
使用K-means对数据进行聚类分析,cluster
按照用户行为特征进行客户分群,cluster
对员工绩效数据进行聚类,cluster
将产品按特征自动分组,cluster
对销售数据进行聚类分析,cluster
判断邮件是否为垃圾邮件,classify
对新闻文章进行情感分类,classify
识别图片中的物体类别,classify
对客户进行信用等级分类,classify
诊断医疗影像的疾病类型,classify
预测客户是否会流失,classify
判断交易是否为欺诈,classify
对文本进行主题分类,classify
预测用户购买意向,classify
分类识别产品质量等级,classify
泰坦尼克号乘客生存预测,classify
检测交易数据中的异常点,anomaly
找出销售数据中的异常波动,anomaly
识别网络流量中的异常行为,anomaly
发现生产线上的异常设备,anomaly
检测用户行为中的异常模式,anomaly
发现数据中的离群点,anomaly
识别系统运行异常,anomaly
检测财务数据异常,anomaly
分析购买商品的关联关系,associate
找出经常一起购买的产品组合,associate
分析疾病与症状的关联规则,associate
挖掘用户行为序列模式,associate
发现网页访问的关联路径,associate
购物篮分析商品关联,associate
挖掘商品推荐关联规则,associate
分析用户兴趣关联模式,associate
对比两个季度的销售业绩,compare
分析不同地区用户行为差异,compare
比较新旧版本产品性能,compare
对比不同营销策略效果,compare
分析竞争对手产品优劣势,compare
比较不同时期的业务指标,compare
对比A/B测试结果,compare
分析不同渠道转化率差异,compare
计算两条曲线的相似度,similarity
判断两篇文章的相似程度,similarity
分析用户行为模式的相似性,similarity
比较产品特征的相似度,similarity
评估两个方案的相似性,similarity
计算用户偏好相似度,similarity
分析文档内容相似性,similarity
比较时间序列相似程度,similarity
分析销售数据的趋势变化,trend
预测市场需求的长期趋势,trend
识别股价的上升下降趋势,trend
分析用户活跃度的季节性趋势,trend
观察气温变化的长期趋势,trend
分析业务增长趋势,trend
识别数据变化趋势,trend
预测未来发展趋势,trend
预测下个月的销售额,predict
预测明天的天气情况,predict
预估未来一周的网站流量,predict
预测股票价格走势,predict
预测设备故障时间,predict
预测用户流失率,predict
预估市场需求量,predict
预测产品销量,predict
基于交易数据生成用户画像,profile
分析用户兴趣标签,profile
构建客户360度视图,profile
创建用户行为档案,profile
完善用户特征画像,profile
生成客户特征分析,profile
构建用户偏好模型,profile
分析用户消费习惯,profile
分析销量下降的原因,causality
找出客户流失的根本原因,causality
诊断设备故障的因果关系,causality
分析影响转化的关键因素,causality
探究影响满意度的原因,causality
分析业绩下滑原因,causality
找出问题根本原因,causality
分析影响因素关系,causality
当库存低于阈值时发出预警,alert
监控系统异常并实时报警,alert
设置财务风险预警机制,alert
建立安全事件预警系统,alert
配置性能下降预警阈值,alert
设置业务指标预警,alert
建立异常监控预警,alert
配置实时风险预警,alert
根据分析结果提供优化建议,recommend
为销售下滑提出改进措施,recommend
基于用户行为推荐产品,recommend
针对故障原因给出维修建议,recommend
根据趋势预测提出应对策略,recommend
推荐最佳营销策略,recommend
提供业务优化建议,recommend
推荐个性化内容,recommend
分析数据的季节性模式,trend
检测时间序列的变点,trend
综合分析数据趋势和周期性,trend
分析指标的周期性变化,trend
检测数据趋势的转折点,trend
预测未来14天的销售额,predict
预测下周的用户活跃度,predict
基于历史数据预测能耗,predict
使用lightgbm预测销量,predict
预测未来30天的订单量,predict
基于多特征预测设备故障,predict
使用xgboost预测客户流失,predict
预测下个季度的收入,predict
基于温度湿度预测用电量,predict
使用随机森林预测产品需求,predict
单变量时间序列预测,predict
多变量时间序列预测,predict
使用Prophet预测趋势,predict
使用ARIMA预测销售,predict
